# timestamp, confidence, diameter,time from start,diam conf 75,ticks
1429308547.84,1.00,102.35,15.11,102.35,
1429308547.87,1.00,102.45,15.15,102.45,
1429308547.91,1.00,102.74,15.18,102.74,
1429308547.94,1.00,102.85,15.21,102.85,
1429308547.97,1.00,103.04,15.25,103.04,
1429308548.00,1.00,103.13,15.27,103.13,
1429308548.03,1.00,103.42,15.30,103.42,
1429308548.06,1.00,103.52,15.34,103.52,
1429308548.10,1.00,103.56,15.38,103.56,
1429308548.14,1.00,103.49,15.41,103.49,
1429308548.17,1.00,103.48,15.44,103.48,
1429308548.20,1.00,103.45,15.48,103.45,
1429308548.23,1.00,103.61,15.51,103.61,
1429308548.27,1.00,103.74,15.55,103.74,
1429308548.31,1.00,103.87,15.58,103.87,
1429308548.34,1.00,103.87,15.61,103.87,
1429308548.37,1.00,103.94,15.65,103.94,
1429308548.41,1.00,103.97,15.68,103.97,
1429308548.43,1.00,104.06,15.70,104.06,
1429308548.47,1.00,104.11,15.74,104.11,
1429308548.50,1.00,104.25,15.77,104.25,
1429308548.53,1.00,104.02,15.81,104.02,
1429308548.56,1.00,104.05,15.84,104.05,
1429308548.60,1.00,104.32,15.87,104.32,
1429308548.63,1.00,104.57,15.91,104.57,
1429308548.67,1.00,104.56,15.94,104.56,
1429308548.70,1.00,104.73,15.97,104.73,
1429308548.73,1.00,104.76,16.01,104.76,
1429308548.76,1.00,104.72,16.04,104.72,
1429308548.80,1.00,104.79,16.08,104.79,
1429308548.83,1.00,104.80,16.11,104.80,
1429308548.86,1.00,104.99,16.13,104.99,
1429308548.89,1.00,105.04,16.17,105.04,
1429308548.93,1.00,105.28,16.20,105.28,
1429308548.97,0.88,105.55,16.24,105.55,
1429308549.00,0.93,105.54,16.27,105.54,
1429308549.03,1.00,105.47,16.30,105.47,
1429308549.06,1.00,105.55,16.34,105.55,
1429308549.10,1.00,105.53,16.37,105.53,
1429308549.12,1.00,105.65,16.40,105.65,
1429308549.15,1.00,105.61,16.43,105.61,
1429308549.19,1.00,105.52,16.46,105.52,
1429308549.22,1.00,105.93,16.50,105.93,
1429308549.26,1.00,105.66,16.53,105.66,
1429308549.29,1.00,105.52,16.56,105.52,
1429308549.32,1.00,105.56,16.60,105.56,
1429308549.36,1.00,105.58,16.63,105.58,
1429308549.39,1.00,105.48,16.67,105.48,
1429308549.43,1.00,105.61,16.70,105.61,
1429308549.46,1.00,105.77,16.74,105.77,
1429308549.49,1.00,105.71,16.76,105.71,
1429308549.52,1.00,105.89,16.79,105.89,
1429308549.55,1.00,105.74,16.82,105.74,
1429308549.59,1.00,105.41,16.86,105.41,
1429308549.62,1.00,104.90,16.89,104.90,
1429308549.66,1.00,104.16,16.93,104.16,
1429308549.69,1.00,103.43,16.96,103.43,
1429308549.72,0.83,103.08,17.00,103.08,
1429308549.76,0.00,0.00,17.03,,
1429308549.79,0.00,0.00,17.06,,
1429308549.83,0.00,0.00,17.10,,
1429308549.85,0.68,102.44,17.12,,
1429308549.88,1.00,101.35,17.16,101.35,
1429308549.91,0.93,101.78,17.19,101.78,
1429308549.95,0.96,101.91,17.22,101.91,
1429308549.99,0.86,101.97,17.26,101.97,
1429308550.02,1.00,102.45,17.29,102.45,
1429308550.05,1.00,102.89,17.33,102.89,
1429308550.08,1.00,102.65,17.36,102.65,
1429308550.12,1.00,102.44,17.39,102.44,
1429308550.15,1.00,101.90,17.43,101.90,
1429308550.18,1.00,101.43,17.46,101.43,
1429308550.21,1.00,100.77,17.48,100.77,
1429308550.24,1.00,99.66,17.52,99.66,
1429308550.28,1.00,98.65,17.55,98.65,
1429308550.32,1.00,97.83,17.59,97.83,
1429308550.35,1.00,96.93,17.62,96.93,
1429308550.38,1.00,96.37,17.66,96.37,
1429308550.41,1.00,96.01,17.69,96.01,
1429308550.45,1.00,95.80,17.72,95.80,
1429308550.49,1.00,95.69,17.76,95.69,
1429308550.51,1.00,95.69,17.78,95.69,
1429308550.54,1.00,95.97,17.81,95.97,
1429308550.58,1.00,96.33,17.85,96.33,
1429308550.61,1.00,96.78,17.89,96.78,
1429308550.65,1.00,97.07,17.92,97.07,
1429308550.68,1.00,97.70,17.95,97.70,
1429308550.71,1.00,98.16,17.98,98.16,
1429308550.75,1.00,98.84,18.02,98.84,
1429308550.80,1.00,99.22,18.08,99.22,
1429308550.85,1.00,99.68,18.12,99.68,
1429308550.87,1.00,99.99,18.15,99.99,
1429308550.91,1.00,100.62,18.18,100.62,
1429308550.94,1.00,101.05,18.21,101.05,
1429308550.97,1.00,101.27,18.24,101.27,
1429308551.01,1.00,101.42,18.28,101.42,
1429308551.04,1.00,101.79,18.32,101.79,
1429308551.08,1.00,102.17,18.35,102.17,
1429308551.10,1.00,102.52,18.38,102.52,
1429308551.14,1.00,102.86,18.41,102.86,
1429308551.17,1.00,103.03,18.45,103.03,
1429308551.21,1.00,103.20,18.48,103.20,
1429308551.24,1.00,103.31,18.51,103.31,
1429308551.28,1.00,103.20,18.55,103.20,
1429308551.31,1.00,102.98,18.58,102.98,
1429308551.34,1.00,102.40,18.61,102.40,
1429308551.37,1.00,101.87,18.64,101.87,
1429308551.40,1.00,101.43,18.67,101.43,
1429308551.44,1.00,101.20,18.71,101.20,
1429308551.47,1.00,100.71,18.74,100.71,
1429308551.51,1.00,100.54,18.78,100.54,
1429308551.54,1.00,100.57,18.81,100.57,
1429308551.57,1.00,100.58,18.84,100.58,
1429308551.61,1.00,100.98,18.88,100.98,
1429308551.64,1.00,101.21,18.91,101.21,
1429308551.67,1.00,101.42,18.94,101.42,
1429308551.71,1.00,101.62,18.98,101.62,
1429308551.74,1.00,101.98,19.01,101.98,
1429308551.76,1.00,102.41,19.04,102.41,
1429308551.80,1.00,102.77,19.07,102.77,
1429308551.83,1.00,102.77,19.10,102.77,
1429308551.87,1.00,102.73,19.14,102.73,
1429308551.90,1.00,102.28,19.17,102.28,
1429308551.94,1.00,102.02,19.21,102.02,
1429308551.97,1.00,101.77,19.24,101.77,
1429308552.00,1.00,101.63,19.27,101.63,
1429308552.03,1.00,101.54,19.31,101.54,
1429308552.07,1.00,101.42,19.34,101.42,
1429308552.09,1.00,101.38,19.36,101.38,
